file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,variances,,,,,,,covariances,,,,custom_variables
A20151970200.slt,2015-07-16,02:30,197.104,1,36000,36000,-0.327286,1,10.2673,6,22.4867,6,3.13801,2,0.502917,6,0.0300438,4,-1.61704,-2.86775,-0.0835418,-0.0641377,-0.00231685,-3.02526e-10,-8.87756e-12,-1.5062e-12,16.7997,394.071,398.682,4.2,0,492.984,11.564,11.6993,5.1,0,0.0836414,1.96199,1.98494,4.25,1,282.492,281.11,99635.0,1.22939,1011.6,0.0234571,0.032589,0.00888357,1152.49,1066.73,0.00722599,100.0,0.0,282.216,2.13929,-4.71318,0.148936,5.17811,-3.16603e-13,-1.80078e-14,5.17811,10.1849,155.183,294.413,1.6482,-9999,0.515963,1.48708,-1164.06,-0.00382949,0.456595,0.0160007,0,65.3445,-9.91628,22.4307,55.8555,85.1832,119.471,178.989,-0.323114,1.01291,11.2192,1.03278,21.0508,1.06821,2.96116,1.05972,0.470803,1.06821,0.0277873,1.08121,800000009,800010009,800000009,800000009,800000009,800000009,800010019,800010019,80000,80000,80,81,0,0,0,0,0,0,0,1.76045,0.944718,0.269005,0.0293023,4.11984,0.0629036,0.00010831,0.00902124,0.0694602,0.0110437,0.000651809,16.3045,485.328
A20151970230.slt,2015-07-16,03:00,197.125,1,36000,36000,-0.295196,1,4.02099,4,7.9105,4,2.23825,1,0.17683,4,0.0176352,2,-1.78962,-1.36046,-0.00489648,-0.0304115,-0.000315384,-2.86441e-11,-8.21669e-13,-1.42431e-13,16.8266,394.029,398.534,4.35,0,482.679,11.3029,11.4321,27.8,0,0.0836691,1.95928,1.98168,4.6,0,281.965,280.583,99618.7,1.23162,1011.44,0.023417,0.0114586,0.00869788,1126.28,1029.08,0.00706216,100.0,0.0,281.875,0.608875,-5.4628,0.136292,5.49831,-2.64122e-13,-1.70231e-15,5.49831,9.17414,173.6,276.36,1.4204,-9999,0.489572,1.1503,-2538.73,-0.00175589,0.508311,0.00659325,0,61.4578,-9.32645,21.0965,52.5332,80.1164,112.364,168.342,-0.291178,1.0138,4.35336,1.0348,7.71363,1.02552,2.2011,1.01688,0.172429,1.02552,0.0169771,1.03876,800000009,800010009,800000009,800000009,800000009,800000009,800000019,800010019,80000,80000,80,80,0,0,0,0,0,0,0,1.1849,0.833638,0.28207,0.0320274,3.97939,0.0469221,8.6514e-05,0.00349468,0.0515431,0.00403778,0.000397553,16.4348,465.013
A20151970300.slt,2015-07-16,03:30,197.146,1,36000,36000,-0.363214,1,2.13316,6,11.183,4,2.1679,1,0.249856,4,0.020117,2,-1.82705,-1.70387,-0.0102731,-0.0380686,-0.00132052,1.84625e-10,5.14437e-12,9.12935e-13,16.8558,393.941,398.314,4.15,0,469.668,10.9767,11.0986,36.55,0,0.0833487,1.94796,1.96958,3.85,0,281.459,280.047,99622.7,1.23418,1011.25,0.0233713,0.0161906,0.00846342,1093.82,991.922,0.00685751,100.0,0.0,281.444,0.621702,-5.53316,0.114155,5.56914,-1.55291e-13,1.09532e-14,5.56914,10.5414,173.565,276.411,1.17452,-9999,0.542491,1.45119,-6510.81,-0.000684669,0.19075,0.00315062,0,63.9777,-9.70887,21.9615,54.6872,83.4014,116.972,175.245,-0.358201,1.014,2.70711,1.03525,10.9016,1.02581,2.13154,1.01706,0.243568,1.02581,0.0193577,1.03923,800000009,800010009,800000009,800000009,800000009,800000009,800010019,800010019,80000,80000,80,80,0,0,0,0,0,0,0,1.64873,0.940467,0.31318,0.022402,4.08598,0.0373073,7.75578e-05,0.00216904,0.0498168,0.00569249,0.000452415,16.6583,437.752
A20151970330.slt,2015-07-16,04:00,197.167,1,36000,36000,-0.337384,1,-2.50479,7,-5.385,4,2.01232,1,-0.120241,4,0.0128722,1,-2.16102,-0.853975,0.0475878,-0.0190684,0.000298808,1.61442e-10,4.42704e-12,7.98524e-13,16.912,394.348,398.659,5.25,0,463.758,10.8137,10.9319,34.1,0,0.0836499,1.95052,1.97184,4.6,0,280.877,279.413,99626.0,1.2371,1011.14,0.0233176,-0.00779165,0.00835692,1077.62,949.601,0.00675526,100.0,0.0,281.224,0.832369,-5.52206,0.111072,5.58554,-7.13207e-15,9.54602e-15,5.58554,10.4057,171.408,278.572,1.13944,-9999,0.522228,1.22598,4946.34,0.000901222,0.465141,-0.00383438,0,63.8852,-9.69483,21.9297,54.6081,83.2809,116.803,174.992,-0.332136,1.0158,-2.72556,1.03833,-5.21341,1.03291,1.96765,1.0227,-0.11641,1.03291,0.0122758,1.04858,800000009,800010009,800000009,800000009,800000009,800000009,800010019,800010019,80000,80000,80,80,0,0,0,0,0,0,0,1.37729,0.78391,0.290755,0.0138349,4.0034,0.0378466,6.91332e-05,-0.00217891,0.0458809,-0.0027144,0.000286244,18.2719,266.928
A20151970400.slt,2015-07-16,04:30,197.187,1,36000,36000,-0.316669,1,-0.564039,7,4.71996,1,2.12653,1,0.105344,1,0.0168684,1,-1.6183,-1.43159,-5.97959e-05,-0.0319515,-0.000839595,2.1774e-11,5.82035e-13,1.07303e-13,16.9466,394.348,398.549,4.35,0,452.995,10.5412,10.6535,10.3,0,0.0835135,1.94336,1.96406,4.1,0,280.523,278.94,99661.0,1.23976,1010.99,0.02327,0.00682631,0.00816296,1050.82,919.02,0.00658431,100.0,0.0,280.854,0.290984,-5.41276,0.129199,5.42211,4.40923e-14,1.28486e-15,5.42211,10.3369,176.873,273.077,1.36538,-9999,0.505399,1.28966,19913.9,0.000223851,-0.119501,-0.000890414,0,64.5391,-9.79405,22.1542,55.167,84.1332,117.998,176.783,-0.31191,1.01526,-0.275353,1.03707,4.63201,1.01899,2.10694,1.0093,0.103381,1.01899,0.0163161,1.03385,800000009,800010009,800000009,800000009,800000009,800000009,800010019,800010019,80000,80000,80,80,0,0,0,0,0,0,0,1.5373,0.776401,0.265616,0.0168457,4.06522,0.0379529,7.34886e-05,-0.000219688,0.0490284,0.00240568,0.000379675,18.8879,184.958
A20151970430.slt,2015-07-16,05:00,197.208,1,36000,36000,-0.445418,1,-0.373963,8,11.6001,4,2.58394,1,0.258846,4,0.0328176,2,-0.752653,-0.568044,-0.00398422,-0.0126754,-1.14655e-05,2.63753e-12,6.97863e-14,1.29983e-14,16.9565,394.314,398.471,5.05,0,448.651,10.4331,10.5431,23.6,0,0.0835652,1.94326,1.96375,4.3,0,280.332,278.72,99649.0,1.24064,1010.92,0.0232544,0.0167732,0.00808469,1039.93,905.104,0.00651655,100.0,0.0,280.701,-1.05287,-5.66741,0.17697,5.76709,2.37732e-13,1.55547e-16,5.76709,11.1406,190.086,259.476,1.75847,-9999,0.599185,1.89756,50046.0,8.90731e-05,-0.032238,-0.000497628,0,69.5509,-10.5546,23.8746,59.451,90.6666,127.161,190.511,-0.43903,1.01455,0.291425,1.0365,11.206,1.03516,2.51842,1.02602,0.250053,1.03516,0.0312795,1.04917,800000009,800010009,800000009,800000009,800000009,800000009,800010019,800010019,80000,80000,80,80,0,0,0,0,0,0,0,2.35273,1.13252,0.309892,0.011292,4.11554,0.0383083,0.000130147,0.000232361,0.0585643,0.00581483,0.000727386,18.0086,256.957
A20151970500.slt,2015-07-16,05:30,197.229,1,36000,36000,-0.452398,1,-5.50609,2,6.82378,1,1.77005,1,0.152254,1,0.0161472,1,-0.308006,-0.397796,-0.0149042,-0.00887572,-0.000606499,-1.06952e-10,-2.81022e-12,-5.25848e-13,16.9569,394.187,398.312,4.3,0,445.552,10.3575,10.4659,30.6,0,0.0833718,1.93809,1.95837,4.35,0,280.26,278.63,99651.3,1.24111,1010.88,0.0232464,0.00986605,0.00802885,1032.41,899.466,0.00646912,100.0,0.0,280.595,-1.22157,-5.77519,0.171385,5.90545,2.08381e-14,-6.30727e-15,5.90545,12.1255,192.096,258.057,1.66304,-9999,0.603748,1.62345,3477.3,0.00128196,-0.806896,-0.00726906,0,66.7697,-10.1326,22.9199,57.0738,87.0411,122.076,182.893,-0.444958,1.01672,-4.92764,1.04051,6.54704,1.04227,1.71623,1.03136,0.146079,1.04227,0.0152475,1.059,800000009,800010009,800000009,800000009,800000009,800000009,800010019,800010019,80000,80000,80,80,0,0,0,1,0,0,0,1.80943,1.08979,0.347679,0.00837893,3.99476,0.0336352,7.82484e-05,-0.00392764,0.0398962,0.00339581,0.000354449,18.5825,224.81
A20151970530.slt,2015-07-16,06:00,197.25,1,36000,36000,-0.403145,1,-6.88141,1,4.51091,1,2.04572,1,0.100649,1,0.011942,1,0.0114079,-0.435888,-0.0211849,-0.00972567,8.89439e-05,3.77597e-11,9.84666e-13,1.8581e-13,16.9498,394.006,398.096,4.45,0,442.002,10.2746,10.3812,28.4,0,0.0834073,1.93885,1.95898,4.4,0,280.301,278.633,99656.0,1.24119,1010.83,0.0232455,0.00652205,0.00796488,1024.2,899.674,0.00641715,100.0,0.0,280.478,-1.20766,-5.78765,0.207976,5.91596,-2.33984e-14,2.22774e-15,5.91596,10.8923,191.746,258.214,2.01466,-9999,0.569917,1.54387,2340.35,0.00190473,-1.5255,-0.00962388,0,64.2251,-9.7464,22.0464,54.8986,83.7238,117.424,175.922,-0.396477,1.01682,-6.3815,1.04071,4.33072,1.04161,1.98496,1.03061,0.0966285,1.04161,0.0112822,1.05848,800000009,800010009,800000009,800000009,800000009,800000009,800010019,800010019,80000,80000,80,80,0,0,0,0,0,0,0,1.66831,1.07805,0.341378,0.00741624,3.94424,0.0342831,7.5302e-05,-0.00508635,0.0461415,0.00224618,0.000262261,17.7158,309.486
A20151970600.slt,2015-07-16,06:30,197.271,1,36000,36000,-0.498603,1,-13.3725,1,6.83382,2,2.02061,1,0.15249,2,0.0257262,1,0.273692,-0.0158346,-0.0271803,-0.000353335,-0.000311873,-7.23625e-11,-1.88757e-12,-3.55806e-13,16.9338,393.774,397.861,4.3,0,441.716,10.2716,10.3782,23.6,0,0.0832634,1.93619,1.95628,4.15,0,280.363,278.713,99649.3,1.24075,1010.83,0.0232538,0.00988135,0.00795973,1023.83,904.686,0.00641526,100.0,0.0,280.473,-1.81306,-5.94533,0.194648,6.21868,-1.38245e-13,-4.27326e-15,6.21868,10.8652,196.945,253.041,1.79368,-9999,0.633922,1.71818,1657.29,0.00268978,-1.95681,-0.0168195,0,66.5005,-10.0917,22.8275,56.8437,86.6902,121.584,182.155,-0.489899,1.01777,-12.4866,1.04292,6.4757,1.0553,1.93638,1.0435,0.144499,1.0553,0.0239669,1.07341,800000009,800010009,800000009,800000009,800000009,800000009,800010019,800010019,80000,80000,80,80,0,0,0,0,0,0,0,1.84267,1.2069,0.386792,0.00871295,3.90529,0.0332136,7.10504e-05,-0.0099559,0.0450282,0.00336015,0.000557322,17.7258,310.869
A20151970630.slt,2015-07-16,07:00,197.292,1,36000,36000,-0.551945,1,-11.4101,1,5.70107,1,2.00716,1,0.127217,1,0.0208036,1,0.0798171,-0.101691,-0.0246391,-0.0022692,-4.95166e-05,-1.78179e-10,-4.64151e-12,-8.76384e-13,16.9227,393.564,397.641,4.65,0,440.831,10.2522,10.3584,23.75,0,0.0832353,1.93577,1.95582,4.6,0,280.373,278.737,99645.7,1.24061,1010.83,0.0232566,0.00824367,0.00794378,1021.86,906.152,0.00640313,100.0,0.0,280.445,-1.95943,-5.90831,0.19794,6.22789,2.32308e-14,-1.0529e-14,6.22789,12.5304,198.401,251.652,1.82133,-9999,0.667006,1.799,2262.53,0.00197025,-2.00139,-0.013641,0,67.593,-10.2575,23.2025,57.7775,88.1143,123.582,185.148,-0.542336,1.01772,-10.6632,1.04284,5.38533,1.05863,1.91731,1.04686,0.120171,1.05863,0.0193219,1.07668,800000009,800010009,800000009,800000009,800000009,800000009,800000019,800010019,80000,80000,80,80,0,0,0,0,0,0,0,2.11092,1.07595,0.411146,0.00856326,3.93177,0.0339529,8.25131e-05,-0.00850312,0.04459,0.00279477,0.000449361,17.88,296.62
A20151970700.slt,2015-07-16,07:30,197.312,1,36000,36000,-0.418941,1,-7.63118,1,6.84778,2,1.63242,1,0.152803,2,0.019395,1,-0.0456191,-0.129776,-0.0472797,-0.00289585,-0.000327682,1.36017e-10,3.5383e-12,6.68727e-13,16.9089,393.161,397.224,3.8,0,439.862,10.2275,10.3332,45.05,0,0.0831325,1.93297,1.95295,4.25,1,280.293,278.723,99661.7,1.24088,1010.81,0.0232517,0.00990163,0.00792631,1019.57,905.314,0.00638765,100.0,0.0,280.412,-1.61695,-5.69398,0.182292,5.92192,-1.16609e-14,8.04411e-15,5.92192,10.3144,195.81,254.147,1.76399,-9999,0.581048,1.52233,2236.58,0.00199311,-1.1144,-0.0104708,0,67.6231,-10.2621,23.2128,57.8032,88.1535,123.637,185.23,-0.412002,1.01684,-6.97669,1.04076,6.51163,1.05162,1.56888,1.0405,0.145302,1.05162,0.0181485,1.06868,800000009,800010009,800000009,800000009,800000009,800000009,800000019,800010019,80000,80000,80,80,0,0,0,0,0,0,0,1.8418,0.89093,0.311926,0.00773079,3.85243,0.0343324,7.722e-05,-0.00556226,0.0364791,0.00337853,0.000421984,18.2848,231.806
A20151970730.slt,2015-07-16,08:00,197.333,1,36000,36000,-0.460984,1,-9.44755,1,7.73368,2,1.44385,1,0.172573,2,0.020025,1,0.0342151,0.141023,-0.0354349,0.00314686,0.000185937,-3.29457e-10,-8.59946e-12,-1.62235e-12,16.8962,392.859,396.93,4.05,0,441.023,10.2544,10.3606,22.75,0,0.0832021,1.93456,1.9546,4.15,0,280.242,278.733,99667.0,1.24089,1010.82,0.0232513,0.0111827,0.00794723,1022.3,905.942,0.00640447,100.0,0.0,280.451,-1.07681,-5.61065,0.20737,5.71681,3.09017e-14,-1.94989e-14,5.71681,11.2876,190.88,259.136,2.07879,-9999,0.609504,1.46441,2085.3,0.0021377,-1.22161,-0.0123576,0,67.1689,-10.1931,23.0569,57.4149,87.5614,122.806,183.986,-0.453602,1.01627,-8.68537,1.03941,7.44276,1.03909,1.4039,1.02846,0.166081,1.03909,0.018974,1.05539,800000009,800010009,800000009,800000009,800000009,800000009,800010019,800010019,80000,80000,80,80,0,0,0,0,0,0,0,1.72673,0.852854,0.349253,0.00726535,3.90549,0.0345157,7.0792e-05,-0.00692437,0.0326425,0.00386161,0.00044117,18.393,254.128
A20151970800.slt,2015-07-16,08:30,197.354,1,36000,36000,-0.387033,1,-7.89347,1,-5.50663,2,0.989774,1,-0.122883,2,0.0151712,1,0.159659,0.154872,-0.0380096,0.00345604,-8.90013e-05,3.91205e-10,1.0249e-11,1.92725e-12,16.881,392.535,396.614,3.65,0,442.256,10.2838,10.3907,48.4,0,0.0831631,1.9338,1.95389,4.0,0,280.364,278.78,99676.0,1.24078,1010.84,0.0232531,-0.00796282,0.00796945,1025.33,908.881,0.00642294,100.0,0.0,280.495,-0.751674,-5.92739,0.154776,5.97686,3.67502e-14,2.31743e-14,5.97686,12.2058,187.424,262.773,1.48389,-9999,0.558504,1.47913,1920.44,0.00232122,1.43345,-0.0112685,0,64.184,-9.74017,22.0323,54.8635,83.6704,117.349,175.81,-0.380543,1.01705,-7.91714,1.04124,-5.34003,1.0312,0.970242,1.02013,-0.119165,1.0312,0.0144739,1.04818,800000009,800010009,800000009,800000009,800000009,800000009,800000019,800010019,80000,80000,80,80,0,0,0,0,0,0,0,1.66583,0.964132,0.328291,0.0121103,3.9265,0.0337707,7.49972e-05,-0.00631235,0.0225611,-0.00277096,0.000336563,18.2653,244.267
A20151970830.slt,2015-07-16,09:00,197.375,1,36000,36000,-0.389775,1,-2.53787,6,4.43662,4,-0.910121,1,0.0989942,4,0.0152588,1,-0.399349,-0.451895,-0.038397,-0.0100831,-4.44274e-05,-2.06361e-10,-5.36567e-12,-1.01727e-12,16.8757,392.208,396.249,9.5,0,438.791,10.1979,10.303,25.8,0,0.0831902,1.93342,1.95334,4.1,0,280.19,278.663,99686.3,1.24147,1010.79,0.023241,0.00641483,0.00790701,1016.87,901.55,0.00636908,100.0,0.0,280.373,0.701184,-6.09759,0.113587,6.13882,1.37155e-13,-1.22283e-14,6.13882,10.6876,173.423,276.56,1.06021,-9999,0.560324,1.50675,6032.04,0.000739012,-0.572027,-0.00360937,0,64.0919,-9.72619,22.0007,54.7848,83.5502,117.18,175.558,-0.383137,1.01733,-2.19238,1.04197,4.31129,1.02907,-0.894077,1.01794,0.0961976,1.02907,0.0145858,1.04614,800000009,800010009,800000009,800000009,800000009,800000009,800010019,800010019,80000,80000,80,80,0,0,0,0,0,0,0,1.62812,1.05383,0.331534,0.0159373,3.93638,0.0398062,6.85523e-05,-0.00174711,-0.0207792,0.00223573,0.000338988,17.4073,340.964
A20151970900.slt,2015-07-16,09:30,197.396,1,36000,36000,-0.41574,1,-3.34749,2,-7.46204,1,1.0839,1,-0.166477,1,0.0143767,1,-0.502369,-0.413212,-0.0304311,-0.0092187,-0.00044116,-1.49651e-10,-3.86375e-12,-7.36773e-13,16.8759,391.949,395.956,3.3,0,435.707,10.1194,10.2229,50.35,0,0.0830845,1.92967,1.94939,4.25,1,280.148,278.517,99701.0,1.24234,1010.75,0.0232253,-0.0107877,0.00785143,1009.19,892.409,0.00631987,100.0,0.0,280.263,0.691374,-6.31362,0.120042,6.35249,4.34026e-14,-8.86776e-15,6.35249,11.4187,173.67,276.249,1.08278,-9999,0.578482,1.53721,5032.72,0.000885753,0.448603,-0.00460837,0,62.1786,-9.43585,21.3439,53.1494,81.0561,113.682,170.317,-0.4084,1.01797,-3.64073,1.04349,-7.25176,1.029,1.06531,1.01745,-0.161786,1.029,0.0137351,1.04672,800000009,800010009,800000009,800000009,800000009,800000009,800000019,800010019,80000,80000,80,80,0,0,0,0,0,0,0,1.73128,0.962206,0.380942,0.00843178,3.85741,0.0331178,6.98369e-05,-0.00289938,0.0247421,-0.00375753,0.000319003,17.9973,219.561
A20151970930.slt,2015-07-16,10:00,197.417,1,36000,36000,-0.404875,1,1.21099,4,8.76137,1,-1.21125,1,0.195463,1,0.0187041,1,-0.0342629,0.190253,-0.0537403,0.00424447,-0.000266391,5.61311e-11,1.45608e-12,2.76345e-13,16.8613,391.492,395.508,2.45,0,437.393,10.1556,10.2597,18.3,0,0.0830118,1.9274,1.94717,4.05,0,280.171,278.507,99727.3,1.2427,1010.76,0.0232184,0.012666,0.00788183,1013.06,891.789,0.00634252,100.0,0.0,280.319,0.346819,-5.90755,0.127983,5.91911,1.51864e-14,3.32899e-15,5.91911,11.3684,176.576,273.36,1.23895,-9999,0.570792,1.47774,-13366.8,-0.000333494,0.138219,0.00168908,0,66.2711,-10.0569,22.7487,56.6475,86.3911,121.165,181.527,-0.398901,1.01498,1.67181,1.03746,8.59671,1.01915,-1.19936,1.00991,0.19179,1.01915,0.0181012,1.03331,800000009,800010009,800000009,800000009,800000009,800000009,800010019,800010019,80000,80000,80,80,0,0,0,0,0,0,0,1.90633,0.73195,0.317181,0.0101081,3.9469,0.0354373,7.14691e-05,0.00133098,-0.0278471,0.00445304,0.000420281,19.2708,88.6228
A20151971000.slt,2015-07-16,10:30,197.437,1,36000,36000,-0.457091,1,-8.49124,1,9.59843,1,-1.08187,1,0.214149,1,0.0168901,1,0.182725,-0.472163,-0.00325079,-0.0105343,-0.000906715,9.22039e-11,2.37087e-12,4.52153e-13,16.8594,391.464,395.444,7.25,0,433.512,10.0659,10.1682,25.35,0,0.0826757,1.91968,1.9392,4.3,0,280.223,278.56,99742.0,1.24268,1010.72,0.0232194,0.0138768,0.00781189,1004.26,895.101,0.0062863,100.0,0.0,280.191,0.478579,-6.75984,0.119319,6.77781,-1.30222e-14,5.46899e-15,6.77781,12.8758,175.87,274.05,1.0087,-9999,0.606486,1.72474,2287.01,0.00194916,-0.884649,-0.0111471,0,64.0909,-9.72604,22.0003,54.7839,83.5489,117.179,175.555,-0.448442,1.01929,-7.59384,1.04656,9.36744,1.02466,-1.06874,1.01229,0.208995,1.02466,0.0161839,1.04363,800000009,800010009,800000009,800000009,800000009,800000009,800000019,800010019,80000,80000,80,80,0,0,0,1,0,0,0,2.11624,0.94555,0.387679,0.00941682,3.92955,0.0410966,8.27205e-05,-0.00604604,-0.0248156,0.00485273,0.00037578,19.9081,76.7215
A20151971030.slt,2015-07-16,11:00,197.458,1,36000,36000,-0.493511,1,-2.47503,4,8.26722,1,-1.67773,1,0.184465,1,0.0140191,1,0.319685,0.121865,-0.044958,0.00271914,-0.000163714,1.37216e-10,3.53986e-12,6.73052e-13,16.8384,391.081,395.067,4.25,1,434.393,10.089,10.1919,38.95,0,0.0825935,1.91829,1.93784,4.65,0,280.322,278.653,99748.7,1.24234,1010.73,0.0232256,0.0119533,0.00782776,1006.64,900.925,0.00630082,100.0,0.0,280.226,0.721178,-6.58233,0.134342,6.62309,-1.77661e-13,8.14897e-15,6.62309,11.8864,173.584,276.253,1.16227,-9999,0.630272,1.87725,8806.5,0.000506189,-0.299378,-0.00312735,0,64.57,-9.79874,22.1648,55.1934,84.1735,118.054,176.867,-0.484464,1.01867,-1.90767,1.04519,8.02912,1.02966,-1.64857,1.01769,0.179152,1.02966,0.0133769,1.04801,800000009,800010009,800000009,800000009,800000009,800000009,800010019,800010019,80000,80000,80,80,0,0,0,1,0,0,0,2.22144,1.12186,0.411208,0.0107946,3.95151,0.0361783,6.85755e-05,-0.00151924,-0.038289,0.00416091,0.000310688,21.059,64.6652
A20151971100.slt,2015-07-16,11:30,197.479,1,36000,36000,-0.464855,1,-1.94246,1,5.99583,1,-1.69103,1,0.13378,1,0.0143817,2,-0.0799468,-0.45442,0.000420182,-0.0101391,0.000307303,-5.73403e-11,-1.46659e-12,-2.81641e-13,16.8441,391.085,395.036,4.25,1,430.821,10.0027,10.1038,14.25,0,0.0827338,1.9209,1.94031,4.9,0,280.235,278.63,99773.7,1.2428,1010.68,0.0232178,0.00866897,0.00776339,998.277,899.466,0.00624672,100.0,0.0,280.104,1.17234,-6.69331,0.11267,6.79614,5.33183e-14,-3.40418e-15,6.79614,11.8082,169.808,279.935,0.949926,-9999,0.611587,1.9092,10254.0,0.000434733,-0.323968,-0.0025286,0,62.8924,-9.54417,21.5889,53.7595,81.9866,114.987,172.272,-0.456114,1.01916,-1.52623,1.04635,5.76913,1.0393,-1.64671,1.02691,0.128722,1.0393,0.0135896,1.05829,800000009,800010009,800000009,800000009,800000009,800000009,800000019,800010019,80000,80000,80,80,0,0,0,1,0,0,0,2.1872,1.21789,0.413328,0.00829699,3.97149,0.0351544,6.89342e-05,-0.00121508,-0.038233,0.00298866,0.000315522,19.6313,79.2783
A20151971130.slt,2015-07-16,12:00,197.5,1,36000,36000,-0.454943,1,-2.70878,2,8.57359,2,-1.39301,1,0.191274,2,0.0143256,1,-0.422859,-0.358898,0.00619496,-0.0080069,0.00108782,8.82316e-11,2.24103e-12,4.35399e-13,16.8579,391.137,395.062,4.35,0,428.18,9.93463,10.0343,20.0,0,0.0831892,1.93015,1.94952,4.2,0,280.178,278.507,99797.7,1.24368,1010.65,0.023202,0.0123945,0.00771581,991.719,891.789,0.00620402,100.0,0.0,280.008,0.942665,-6.70477,0.151718,6.77242,-8.30194e-14,5.23384e-15,6.77242,12.0869,171.824,278.003,1.28367,-9999,0.604818,1.83975,7112.8,0.000626722,-0.315945,-0.00356322,0,62.2661,-9.44913,21.3739,53.2242,81.1702,113.842,170.557,-0.44641,1.01911,-2.11457,1.04622,8.28904,1.03433,-1.36299,1.02203,0.184926,1.03433,0.013602,1.0532,800000009,800010009,800000009,800000009,800000009,800000009,800000019,800000019,80000,80000,80,80,0,0,0,0,0,0,0,2.20187,1.06315,0.41449,0.00935911,3.88508,0.0362922,6.86293e-05,-0.00168235,-0.0316241,0.00429064,0.000315593,19.064,135.882
A20151971200.slt,2015-07-16,12:30,197.521,1,36000,36000,-0.562999,1,3.88472,2,13.8444,2,-2.35248,1,0.308909,2,0.0164029,1,0.51402,0.466721,-0.0450311,0.0104139,0.00121497,-2.23333e-10,-5.72873e-12,-1.10908e-12,16.8323,390.754,394.71,3.75,0,431.767,10.0233,10.1247,11.8,0,0.0835898,1.94049,1.96014,4.5,0,280.275,278.657,99797.7,1.24297,1010.69,0.0232145,0.0200173,0.00778045,1000.57,901.133,0.00625958,100.0,0.0,280.138,1.05276,-6.98793,0.139522,7.06816,4.15575e-14,-1.32681e-14,7.06816,13.4143,171.241,278.567,1.13107,-9999,0.673014,2.17717,-6833.78,-0.000652311,0.280598,0.00459468,0,65.282,-9.9068,22.4092,55.8021,85.1017,119.356,178.818,-0.552907,1.01825,4.51048,1.04469,13.3855,1.03428,-2.29934,1.02311,0.298669,1.03428,0.0156012,1.05139,800000009,800010009,800000009,800000009,800000009,800000009,800000019,800000019,80000,80000,80,80,0,0,0,0,0,0,0,2.71323,1.18475,0.45638,0.00901902,3.94614,0.0345521,6.49152e-05,0.0035904,-0.0533781,0.00693345,0.000362175,18.8561,143.36
A20151971230.slt,2015-07-16,13:00,197.542,1,36000,36000,-0.604431,1,24.153,2,24.2417,2,-4.50563,1,0.541008,2,0.0239178,4,0.707729,0.44384,-0.0871714,0.00990529,0.00101248,2.28566e-10,5.92354e-12,1.14227e-12,16.7888,390.012,393.994,4.25,1,435.1,10.1076,10.2108,8.6,0,0.0839032,1.94912,1.96902,4.15,0,280.408,278.863,99802.7,1.24207,1010.75,0.0232305,0.0350573,0.00784051,1009.04,914.149,0.00631246,100.0,0.0,280.261,1.06165,-7.13208,0.117236,7.21161,4.01859e-14,1.36142e-14,7.21161,14.796,171.596,278.467,0.931472,-9999,0.697591,2.41167,-1224.06,-0.00364177,0.996343,0.0275792,0,65.7674,-9.98046,22.5758,56.217,85.7344,120.244,180.147,-0.593355,1.01867,24.5427,1.04558,23.4582,1.0334,-4.40858,1.02201,0.523522,1.0334,0.0227608,1.05083,800000009,800010009,800000009,800000009,800000009,800000009,800000019,800010019,80000,80000,80,80,0,0,0,0,0,0,0,3.12056,1.22164,0.481128,0.0183668,4.1313,0.0436192,8.12818e-05,0.0195494,-0.102414,0.0121617,0.000528746,19.5368,89.5927
A20151971300.slt,2015-07-16,13:30,197.562,1,36000,36000,-0.50473,1,10.5383,1,13.3334,1,-2.64412,1,0.297583,1,0.0145042,1,0.216913,-0.14973,-0.0544274,-0.00334177,0.00198181,7.31994e-11,1.89396e-12,3.69427e-13,16.771,389.548,393.515,5.05,0,433.933,10.0792,10.1818,11.1,0,0.0846409,1.96599,1.98601,3.65,0,280.489,278.927,99838.7,1.24225,1010.73,0.0232274,0.0192834,0.00781948,1006.56,918.171,0.00629462,100.0,0.0,280.225,0.955161,-6.73656,0.128628,6.80516,-2.87042e-14,4.36464e-15,6.80516,12.2072,171.887,278.07,1.08304,-9999,0.63742,1.92912,-2140.87,-0.00208221,0.790364,0.0131673,0,63.6679,-9.66185,21.8551,54.4224,82.9975,116.405,174.396,-0.496051,1.0175,10.8896,1.04304,12.9189,1.03209,-2.58886,1.02135,0.288332,1.03209,0.0138329,1.04853,800000009,800010009,800000009,800000009,800000009,800000009,800000019,800000019,80000,80000,80,80,0,0,0,0,0,0,0,2.18407,1.23803,0.436149,0.0101039,4.04167,0.0359868,0.000119927,0.00867299,-0.0601326,0.0066972,0.000321303,18.1523,235.441
