file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,variances,,,,,,,covariances,,,,custom_variables
A20151950330.slt,2015-07-14,04:00,195.167,1,36000,36000,-0.0221217,5,-11.7038,5,-9.10043,6,2.33315,5,-0.204094,6,0.106355,5,0.68768,-0.281333,-0.949741,-0.00630941,-0.0510611,1.04959e-10,2.21016e-12,5.51351e-13,16.9489,398.599,401.973,5.5,0,356.898,8.39339,8.46444,45.75,0,0.0890325,2.09383,2.11156,4.6,0,285.059,283.99,100397.0,1.2277,1009.9,0.0235176,-0.0132253,0.0064313,842.895,1294.91,0.00523848,65.0931,452.012,277.663,-2.23331,-0.166359,0.185463,2.24716,7.38335e-14,6.19269e-15,2.24716,3.43951,264.918,184.26,4.73412,-9999,0.134234,0.135999,18.0712,0.246677,1.28607,-0.0703226,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.0217541,1.0169,-11.7131,1.03688,-6.64645,1.36922,1.75347,1.33059,-0.149059,1.36922,0.0771889,1.37786,800000009,800000009,800000009,800000009,800000009,800100019,800000019,800100019,80000,80000,80,80,0,0,10,0,0,0,37,0.132895,0.125712,0.0133916,0.110286,7.57295,0.0638234,0.0210128,-0.00944722,0.0412375,-0.00350551,0.0018153,16.4707,344.903
A20151950400.slt,2015-07-14,04:30,195.187,1,36000,36000,-0.0268646,5,-26.4771,5,20.2407,5,-0.610588,5,0.45396,5,0.0600358,5,0.202892,2.06224,-0.378699,0.046252,-0.012768,-1.0533e-10,-2.34256e-12,-5.28534e-13,16.8064,395.333,398.84,4.7,0,373.776,8.79224,8.87023,4.8,0,0.0843323,1.98373,2.00133,4.45,0,285.058,284.05,100396.0,1.22725,1010.11,0.0235228,0.0294166,0.00673544,882.943,1300.08,0.00548824,67.9142,417.142,278.328,-2.2001,-0.28657,0.189257,2.22674,4.07628e-14,-6.26728e-15,2.22674,3.71875,262.418,187.421,4.87561,-9999,0.147953,0.140363,10.6968,0.416738,-1.30811,-0.144359,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.0262907,1.02183,-24.554,1.04673,13.6422,1.48368,-0.426,1.4333,0.305969,1.48368,0.0399948,1.50109,800000009,800000009,800000009,800000009,800000009,800000009,800000019,801000019,80000,80000,80,80,0,0,0,0,0,0,0,0.170795,0.0838137,0.0261165,0.160934,3.88512,0.0706874,0.000977144,-0.019807,-0.0100207,0.00719723,0.000940788,16.3459,361.486
A20151950430.slt,2015-07-14,05:00,195.208,1,36000,36000,-0.0226936,5,-13.5739,5,13.6397,5,-1.43578,5,0.305967,5,0.0279731,5,0.608302,0.547822,-0.221225,0.0122887,-0.00197858,1.52941e-10,3.45914e-12,7.64523e-13,16.7147,393.424,396.957,4.05,0,378.044,8.89828,8.97817,5.0,0,0.0835536,1.96666,1.98431,4.6,0,285.167,284.23,100396.0,1.22642,1010.18,0.0235377,0.0198267,0.00681236,893.591,1315.73,0.00555465,67.916,422.138,278.5,-1.69757,0.0670244,0.170246,1.7074,-1.77444e-13,9.15009e-15,1.7074,3.86581,272.581,177.739,5.7225,-9999,0.136029,0.150704,16.2164,0.274891,-0.995172,-0.0805445,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.022377,1.01415,-12.6085,1.03092,10.0019,1.36372,-1.07438,1.33638,0.224362,1.36372,0.0203713,1.37316,800000009,800010009,800000009,800000009,800000009,800000009,800110019,811110019,80000,80000,80,81,0,0,4,0,0,0,0,0.163134,0.118936,0.0193385,0.0591098,4.65994,0.123235,0.000432128,-0.0101772,-0.0252884,0.00528097,0.000479493,16.2643,365.092
A20151950500.slt,2015-07-14,05:30,195.229,1,36000,36000,-0.0386593,5,-14.3205,5,14.9686,5,-1.64578,5,0.336003,5,0.00903322,6,2.38236,1.43216,-0.165012,0.032148,-0.0002913,-1.61861e-10,-3.78904e-12,-8.11017e-13,16.6127,391.997,395.627,4.5,0,388.891,9.17637,9.26136,4.7,0,0.0832393,1.96414,1.98233,4.2,0,285.526,284.937,100396.0,1.22325,1010.34,0.0235963,0.021773,0.00700781,921.515,1378.76,0.00572885,66.8363,457.249,278.944,-1.72616,0.430744,0.163832,1.78662,-9.63935e-14,-9.7432e-15,1.78662,3.38104,285.347,165.989,5.26139,-9999,0.177775,0.175607,34.3116,0.12992,-0.956703,-0.0651786,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.0382693,1.01019,-13.3214,1.02304,12.0232,1.24498,-1.3407,1.22755,0.269888,1.24498,0.00722552,1.25018,800000009,800010009,800000009,800000009,800000009,800000009,800010019,800110019,80000,80000,80,81,0,0,1,0,0,0,0,0.231823,0.0940937,0.0252985,0.0269354,4.70972,0.0665361,0.000163715,-0.0107786,-0.0316355,0.00636834,0.000170495,16.1889,375.033
A20151950530.slt,2015-07-14,06:00,195.25,1,36000,36000,-0.0331097,5,-3.8451,5,25.8027,5,-3.20085,5,0.57946,5,0.0296322,5,1.59328,2.21491,-0.212913,0.049741,0.00205968,8.80027e-12,2.16703e-13,4.47056e-14,16.5077,390.152,393.937,4.6,0,406.496,9.60735,9.70054,4.65,1,0.0838596,1.98198,2.00121,4.2,0,285.845,285.41,100400.0,1.22107,1010.59,0.0236345,0.037549,0.00732506,964.833,1422.46,0.0059989,67.8287,457.623,279.609,-1.8448,0.119419,0.159996,1.85557,-8.3791e-15,5.33101e-16,1.85557,3.39114,273.917,176.296,4.94645,-9999,0.164667,0.13171,101.566,0.04389,-0.149019,-0.0189228,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.0328759,1.00711,-2.4825,1.01695,21.9073,1.17781,-2.73983,1.16826,0.491981,1.17781,0.0250891,1.18108,800000009,800010009,800000009,800000009,800000009,800000009,800010019,800110019,80000,80000,80,80,0,0,4,0,0,0,0,0.142402,0.0934286,0.0275889,0.0191413,4.7613,0.0737503,0.000237114,-0.00201175,-0.0647546,0.0116277,0.000592969,16.0996,391.323
A20151950600.slt,2015-07-14,06:30,195.271,1,36000,36000,-0.031611,5,3.65611,6,27.4154,5,-7.43051,5,0.616227,5,0.0136852,5,3.10953,2.72305,-0.0011552,0.0612069,0.000535822,9.50563e-11,2.47042e-12,4.84037e-13,16.4541,390.142,394.138,4.45,0,427.626,10.1394,10.2432,4.5,0,0.0837861,1.98664,2.00699,4.2,0,286.516,286.337,100401.0,1.21689,1010.9,0.0237109,0.0399315,0.00770582,1018.28,1511.53,0.00633238,67.3674,493.253,280.394,-1.22149,0.059795,0.155982,1.23286,-4.6758e-14,5.77706e-15,1.23286,2.3432,272.947,177.197,7.26856,-9999,0.161174,0.091476,-100.173,-0.0445003,0.13336,0.0184401,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.0315033,1.00342,5.108,1.00957,24.5701,1.11581,-6.6837,1.11174,0.552271,1.11581,0.0122505,1.11711,800000009,800010009,800000009,800000009,800000009,800010009,800110019,801110019,80000,80000,80,80,0,0,0,0,0,0,0,0.0873256,0.0688622,0.026764,0.0450399,7.90926,0.0877072,0.000163441,0.0041523,-0.158476,0.0130948,0.000290469,16.0594,410.087
A20151950630.slt,2015-07-14,07:00,195.292,1,36000,36000,-0.0278245,5,29.2372,2,44.9934,2,-4.56777,2,1.01225,2,0.0136478,2,3.15516,2.11234,0.239679,0.0475228,0.00119837,-7.60045e-11,-2.04506e-12,-3.86984e-13,16.4871,392.233,396.416,4.25,1,443.619,10.5539,10.6664,4.55,0,0.0839455,1.99709,2.01839,4.55,0,287.181,287.28,100396.0,1.21264,1011.15,0.0237903,0.0655936,0.00799402,1059.85,1607.21,0.00659227,65.9431,547.368,280.98,-1.10364,-0.143306,0.126409,1.12006,-2.25974e-14,-4.60994e-15,1.12006,2.47059,264.482,187.398,6.48014,-9999,0.151478,0.150621,-10.3997,-0.42864,0.64981,0.157412,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.0277349,1.00323,31.5027,1.00907,40.346,1.11519,-4.11025,1.11131,0.907692,1.11519,0.0122271,1.1162,800000009,800010009,800000009,800000009,800000009,800000009,800000019,800110019,80000,80000,80,80,0,0,0,0,0,0,0,0.124879,0.145193,0.0311706,0.107609,5.72052,0.0886979,0.000183443,0.0256921,-0.0977841,0.0215943,0.000290886,16.104,423.896
A20151950700.slt,2015-07-14,07:30,195.312,1,36000,36000,-0.0207574,5,49.1164,1,38.911,1,-4.4023,1,0.876196,1,0.00576222,4,3.12264,1.50958,-0.0267515,0.0339927,0.000467947,6.47838e-11,1.79335e-12,3.30727e-13,16.4223,391.998,396.299,4.6,0,454.603,10.8513,10.9704,4.75,0,0.0838373,2.00119,2.02314,3.55,0,287.793,288.217,100387.0,1.20846,1011.34,0.0238699,0.0567775,0.00819194,1089.63,1707.44,0.00677884,63.8164,617.812,281.387,-0.504639,0.0173064,0.102762,0.515286,5.59847e-14,3.94487e-15,0.515286,2.01179,267.007,178.036,11.5035,-9999,0.13106,0.148618,-4.0096,-1.11177,1.26227,0.306639,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.020707,1.00243,51.0631,1.00686,34.9471,1.11343,-3.96067,1.1115,0.786937,1.11343,0.0051737,1.11375,800000009,800000009,800000009,800000009,800000009,800010009,800000019,811110019,80000,80000,81,81,0,0,0,0,0,0,0,0.111569,0.145919,0.0397476,0.117655,4.67152,0.0717876,9.24617e-05,0.041781,-0.0945406,0.0187841,0.000123496,16.0604,431.888
A20151950730.slt,2015-07-14,08:00,195.333,1,36000,36000,-0.0841195,5,92.2032,2,61.9797,2,-6.01373,2,1.39686,2,0.0106503,6,2.97974,1.73831,-0.182209,0.039177,0.00134345,8.54225e-13,2.44963e-14,4.40459e-15,16.3017,390.399,394.819,4.0,0,467.477,11.1953,11.322,4.45,0,0.0840554,2.01298,2.03577,4.05,0,288.436,289.113,100370.0,1.20435,1011.54,0.0239483,0.0905167,0.00842393,1123.97,1808.48,0.00699462,62.1499,684.513,281.845,-0.431794,-0.106028,0.11738,0.459855,1.74779e-13,5.2401e-17,0.459855,1.9974,254.724,193.796,14.7887,-9999,0.264285,0.261745,-17.5131,-0.254538,1.48764,0.286376,0,60.8782,-9.2385,20.8975,52.0378,79.3609,111.305,166.755,-0.0839192,1.00239,95.3037,1.00672,55.8719,1.10932,-5.42999,1.1075,1.25921,1.10932,0.00959914,1.1095,800000009,800000009,800000009,800000009,800000009,800010009,800000019,811010019,80000,80000,81,81,0,0,0,0,0,0,0,0.247769,0.190593,0.085128,0.193069,4.67567,0.0736476,7.95459e-05,0.0782297,-0.130039,0.0301559,0.000229883,15.9573,441.388
A20151950800.slt,2015-07-14,08:30,195.354,1,36000,36000,-0.0952654,5,113.459,1,64.7252,1,-4.99361,4,1.46003,1,-0.00948697,6,3.04726,2.2775,-0.203521,0.0513744,0.00139894,-3.08722e-10,-9.25345e-12,-1.60897e-12,16.1722,388.606,393.186,4.25,1,484.735,11.6478,11.7851,4.95,0,0.0842849,2.0253,2.04917,4.25,1,289.322,290.033,100350.0,1.20008,1011.82,0.0240293,0.0946101,0.00873492,1169.17,1917.57,0.00727862,60.9715,748.4,282.429,0.193837,-0.403933,0.124209,0.464932,-8.15329e-14,-1.90897e-14,0.464932,2.48779,153.793,295.635,15.495,-9999,0.281749,0.315146,-17.2434,-0.258519,1.75293,0.331637,0,63.4694,-9.63173,21.787,54.2527,82.7388,116.042,173.853,-0.0950382,1.00239,116.875,1.00674,61.6581,1.04974,-4.76522,1.04793,1.39085,1.04974,-0.00903657,1.04984,800000009,800000009,800000009,800000009,800000009,800010009,800000019,811100019,80000,80000,81,81,0,0,0,0,0,0,0,0.287038,0.256079,0.0871755,0.322558,4.99214,0.103648,6.96596e-05,0.0962516,-0.114505,0.033421,-0.000217142,15.8394,454.205
